,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
173,Air India,AI-409,"Mon, Mar 21",New Delhi,Patna,1h 35m,Non Stop,"2,190"
174,IndiGo,6E-761,"Mon, Mar 21",New Delhi,Patna,1h 40m,Non Stop,"2,190"
175,Air India,AI-415,"Mon, Mar 21",New Delhi,Patna,1h 40m,Non Stop,"2,190"
176,IndiGo,6E-2043,"Mon, Mar 21",New Delhi,Patna,1h 45m,Non Stop,"2,190"
177,IndiGo,6E-2323,"Mon, Mar 21",New Delhi,Patna,1h 45m,Non Stop,"2,190"
178,IndiGo,6E-397/6277,"Mon, Mar 21",New Delhi,Patna,4h 40m,1 Stop,"2,190"
179,IndiGo,6E-2346/6277,"Mon, Mar 21",New Delhi,Patna,9h 25m,1 Stop,"2,190"
180,SpiceJet,SG-8185,"Fri, Mar 25",New Delhi,Pune,2h 20m,Non Stop,"2,244"
181,Air Asia,I5-768,"Fri, Mar 25",New Delhi,Pune,2h 00m,Non Stop,"2,246"
182,IndiGo,6E-2471,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
183,IndiGo,6E-2769,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
184,IndiGo,6E-221,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
185,Air Asia,I5-737,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
186,IndiGo,6E-186,"Fri, Mar 25",New Delhi,Pune,2h 15m,Non Stop,"2,246"
187,IndiGo,6E-2753,"Fri, Mar 25",New Delhi,Pune,2h 35m,Non Stop,"2,246"
188,IndiGo,6E-198/217,"Fri, Mar 25",New Delhi,Pune,8h 35m,1 Stop,"2,246"
189,IndiGo,6E-5241/367,"Fri, Mar 25",New Delhi,Pune,11h 05m,1 Stop,"2,246"
190,SpiceJet,SG-8152,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,898"
191,Air Asia,I5-783,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
192,IndiGo,6E-2751,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
193,IndiGo,6E-889,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
194,IndiGo,6E-5031,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
195,Go First,G8-152,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
196,Air Asia,I5-792,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
197,Go First,G8-157,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
198,Air Asia,I5-776,"Sun, Feb 27",New Delhi,Guwahati,2h 25m,Non Stop,"2,900"
199,Air Asia,I5-787,"Sun, Feb 27",New Delhi,Guwahati,2h 30m,Non Stop,"2,900"
200,IndiGo,6E-5349,"Sat, Mar 26",Mumbai,Varanasi,2h 20m,Non Stop,"3,402"
201,Air India,AI-695,"Sat, Mar 26",Mumbai,Varanasi,2h 25m,Non Stop,"3,402"
202,IndiGo,6E-5209/915,"Sat, Mar 26",Mumbai,Varanasi,4h 55m,1 Stop,"3,402"
203,IndiGo,6E-168/6195,"Sat, Mar 26",Mumbai,Varanasi,5h 05m,1 Stop,"3,402"
204,IndiGo,6E-5017/6195,"Sat, Mar 26",Mumbai,Varanasi,6h 45m,1 Stop,"3,402"
205,IndiGo,6E-6201/6195,"Sat, Mar 26",Mumbai,Varanasi,8h 20m,1 Stop,"3,402"
206,IndiGo,6E-6721/6195,"Sat, Mar 26",Mumbai,Varanasi,9h 05m,1 Stop,"3,402"
207,IndiGo,6E-2047/6195,"Sat, Mar 26",Mumbai,Varanasi,9h 45m,1 Stop,"3,402"
208,IndiGo,6E-168/596,"Sat, Mar 26",Mumbai,Varanasi,9h 50m,1 Stop,"3,402"
209,IndiGo,6E-5017/596,"Sat, Mar 26",Mumbai,Varanasi,11h 30m,1 Stop,"3,402"
210,IndiGo,6E-5017/6636,"Wed, Mar 2",Mumbai,Chandigarh,5h 40m,1 Stop,"3,198"
211,IndiGo,6E-6201/6636,"Wed, Mar 2",Mumbai,Chandigarh,7h 15m,1 Stop,"3,198"
212,IndiGo,6E-6721/6636,"Wed, Mar 2",Mumbai,Chandigarh,8h 00m,1 Stop,"3,198"
213,IndiGo,6E-2047/6636,"Wed, Mar 2",Mumbai,Chandigarh,8h 40m,1 Stop,"3,198"
214,Vistara,UK-653,"Wed, Mar 2",Mumbai,Chandigarh,2h 20m,Non Stop,"3,300"
215,Vistara,UK-651,"Wed, Mar 2",Mumbai,Chandigarh,2h 25m,Non Stop,"3,300"
216,IndiGo,6E-5209/108,"Wed, Mar 2",Mumbai,Chandigarh,6h 20m,1 Stop,"3,300"
217,IndiGo,6E-6463/6512,"Wed, Mar 2",Mumbai,Chandigarh,6h 55m,1 Stop,"3,300"
218,IndiGo,6E-832/6552,"Wed, Mar 2",Mumbai,Chandigarh,9h 25m,1 Stop,"3,300"
219,IndiGo,6E-6463/851,"Wed, Mar 2",Mumbai,Chandigarh,12h 05m,1 Stop,"3,300"
220,IndiGo,6E-6234/817,"Sun, Apr 10",Mumbai,New Delhi,4h 05m,1 Stop,"2,337"
221,IndiGo,6E-6084/158,"Sun, Apr 10",Mumbai,New Delhi,5h 20m,1 Stop,"2,337"
222,IndiGo,6E-5361/6685,"Sun, Apr 10",Mumbai,New Delhi,5h 25m,1 Stop,"2,337"
223,IndiGo,6E-6084/6288,"Sun, Apr 10",Mumbai,New Delhi,7h 10m,1 Stop,"2,337"
224,IndiGo,6E-5361/6299,"Sun, Apr 10",Mumbai,New Delhi,7h 25m,1 Stop,"2,337"
225,IndiGo,6E-5381/817,"Sun, Apr 10",Mumbai,New Delhi,8h 05m,1 Stop,"2,337"
226,IndiGo,6E-6084/5011,"Sun, Apr 10",Mumbai,New Delhi,8h 55m,1 Stop,"2,337"
227,IndiGo,6E-6234/6246,"Sun, Apr 10",Mumbai,New Delhi,9h 25m,1 Stop,"2,337"
228,IndiGo,6E-5372/2012,"Sun, Apr 10",Mumbai,New Delhi,10h 50m,1 Stop,"2,337"
229,IndiGo,6E-6222/2279,"Sun, Apr 10",Mumbai,New Delhi,11h 00m,1 Stop,"2,337"
230,Air India,AI-685,"Fri, Feb 25",Mumbai,Goa,1h 20m,Non Stop,"1,890"
231,Go First,G8-382,"Fri, Feb 25",Mumbai,Goa,1h 10m,Non Stop,"1,998"
232,Go First,G8-575,"Fri, Feb 25",Mumbai,Goa,1h 15m,Non Stop,"1,998"
233,Go First,G8-331,"Fri, Feb 25",Mumbai,Goa,1h 15m,Non Stop,"1,998"
234,Go First,G8-384,"Fri, Feb 25",Mumbai,Goa,1h 20m,Non Stop,"1,998"
235,Go First,G8-371,"Fri, Feb 25",Mumbai,Goa,1h 25m,Non Stop,"1,998"
236,Air Asia,I5-471,"Fri, Feb 25",Mumbai,Goa,1h 00m,Non Stop,"2,000"
237,Air Asia,I5-620,"Fri, Feb 25",Mumbai,Goa,1h 10m,Non Stop,"2,000"
238,IndiGo,6E-5202,"Fri, Feb 25",Mumbai,Goa,1h 10m,Non Stop,"2,000"
239,IndiGo,6E-711,"Fri, Feb 25",Mumbai,Goa,1h 10m,Non Stop,"2,000"
240,SpiceJet,SG-241,"Sun, Mar 20",Mumbai,Kolkata,2h 40m,Non Stop,"2,832"
241,Go First,G8-511,"Sun, Mar 20",Mumbai,Kolkata,2h 30m,Non Stop,"2,834"
242,Go First,G8-520,"Sun, Mar 20",Mumbai,Kolkata,2h 35m,Non Stop,"2,834"
243,IndiGo,6E-6088,"Sun, Mar 20",Mumbai,Kolkata,2h 30m,Non Stop,"2,835"
244,IndiGo,6E-5343,"Sun, Mar 20",Mumbai,Kolkata,2h 30m,Non Stop,"2,835"
245,Vistara,UK-771,"Sun, Mar 20",Mumbai,Kolkata,2h 40m,Non Stop,"2,835"
246,Vistara,UK-775,"Sun, Mar 20",Mumbai,Kolkata,2h 50m,Non Stop,"2,835"
247,Air India,AI-673,"Sun, Mar 20",Mumbai,Kolkata,4h 15m,1 Stop,"2,835"
248,IndiGo,6E-5209/6358,"Sun, Mar 20",Mumbai,Kolkata,7h 05m,1 Stop,"3,233"
249,IndiGo,6E-6818/165,"Sun, Mar 20",Mumbai,Kolkata,11h 20m,1 Stop,"3,515"
250,IndiGo,6E-5017/125,"Sat, Mar 19",Mumbai,Dehradun,5h 20m,1 Stop,"3,700"
251,IndiGo,6E-168/2017,"Sat, Mar 19",Mumbai,Dehradun,6h 15m,1 Stop,"3,700"
252,IndiGo,6E-6201/125,"Sat, Mar 19",Mumbai,Dehradun,6h 55m,1 Stop,"3,700"
